Cordon Blue Meal EGY QC,,,,,,,,,,,,,,
Cordon Blue Meal EGY QC,,,,,,,,,,,,,,
Cordon Blue Meal EGY QC,,,,,,,,,,,,,,
Cheddar Cheese 4 OZ EGY TO,Jalapeno Chicken Meal EGY QC,,,,,,,,,,,,,
Chicken Fillet Meal EGY QC,Chicken Santfee Sandwich EGY,Jalapeno Chicken Sandwich EGY,,,,,,,,,,,,
Super Star Meal EGY QC,,,,,,,,,,,,,,
Super Star Meal EGY QC,,,,,,,,,,,,,,
Ketchup Packet HRD EGY,,,,,,,,,,,,,,
Cheddar Cheese 4 OZ EGY TO,Crispy Culrs (Large) EGY TO,Large Skin Fries  EGY TO,,,,,,,,,,,,
4oz Jalapeno Cup  EGY,Champs Meal EGY QC,,,,,,,,,,,,,
Chicken Wrap Spicy Meal EGY QC,Loaded Fries EGY TO,,,,,,,,,,,,,
Medium Pepsi  EGY,Roastbeef Cheddar EGY QC,,,,,,,,,,,,,
Choc ChipCookie  EGY TO,Crispy Culrs (Large) EGY TO,Delivery Charges,Ranch Dressing Cup HRD EGY TO,,,,,,,,,,,
Delivery Charges,El Kabeer Meal EGY QC,,,,,,,,,,,,,
Angus Original Meal HD EGY QC,Cordon Blue Meal HD EGY QC,Delivery Charges,Ketchup Packet HRD EGY TO,,,,,,,,,,,
Curly Fries Loaded with Mushroom EGY TO,Delivery Charges,Mushroom Double Treat QC,,,,,,,,,,,,
Delivery Charges,Super Star Meal HD EGY QC,,,,,,,,,,,,,
Choc ChipCookie  EGY TO,Delivery Charges,Famous Cheese Star HD EGY QC,,,,,,,,,,,,
Delivery Charges,Mushrom Angus Sandwich  EGY TO,,,,,,,,,,,,,
Delivery Charges,Mushroom Big Solo QC,,,,,,,,,,,,,
Cheddar Cheese 4 OZ EGY,Double Burger Meal EGY QC,Famous Cheese Star EGY QC,,,,,,,,,,,,
4oz Jalapeno Cup  EGY,Double Burger Meal EGY QC,Double Burger Sand  EGY,,,,,,,,,,,,
Vodafone Double Cheesebits EGY QC,,,,,,,,,,,,,,
Big Delux EGY,,,,,,,,,,,,,,
Delivery Charges,Mushroom Supper Star Chicken Sandwich EGY TO,,,,,,,,,,,,,
